irr-A9-1	1 x (irr-A2-1)
irr-A9-10	1 x (irr-A2-10)
irr-A9-45	1 x (irr-A2-10) + 1 x (irr-A2-35)
irr-A9-55	1 x (irr-A2-27) + 1 x (irr-A2-28)
irr-A9-99	1 x (irr-A2-8) + 1 x (irr-A2-27) + 1 x (irr-A2-64)
irr-A9-120	1 x (irr-A2-1) + 1 x (irr-A2-27) + 1 x (irr-A2-28) + 1 x (irr-A2-64)
irr-A9-252-q	2 x (irr-A2-10) + 2 x (irr-A2-35) + 2 x (irr-A2-81)
