irr-A9-1	1 x (irr-A1-1,irr-A7-1)
irr-A9-10	1 x (irr-A1-2-q,irr-A7-1) + 1 x (irr-A1-1,irr-A7-8)
irr-A9-45	1 x (irr-A1-1,irr-A7-1) + 1 x (irr-A1-2-q,irr-A7-8) + 1 x (irr-A1-1,irr-A7-28)
irr-A9-55	1 x (irr-A1-3,irr-A7-1) + 1 x (irr-A1-2-q,irr-A7-8) + 1 x (irr-A1-1,irr-A7-36)
irr-A9-99	1 x (irr-A1-1,irr-A7-1) + 1 x (irr-A1-3,irr-A7-1) + 2 x (irr-A1-2-q,irr-A7-8) + 1 x (irr-A1-1,irr-A7-63)
irr-A9-120	1 x (irr-A1-1,irr-A7-8) + 1 x (irr-A1-2-q,irr-A7-28) + 1 x (irr-A1-1,irr-A7-56)
irr-A9-252-q	2 x (irr-A1-1,irr-A7-56) + 1 x (irr-A1-2-q,irr-A7-70)
