irr-A9-1	1 x (irr-A2-1,irr-A6-1)
irr-A9-10	1 x (irr-A2-3,irr-A6-1) + 1 x (irr-A2-1,irr-A6-7)
irr-A9-45	1 x (irr-A2-3,irr-A6-1) + 1 x (irr-A2-3,irr-A6-7) + 1 x (irr-A2-1,irr-A6-21)
irr-A9-55	1 x (irr-A2-6,irr-A6-1) + 1 x (irr-A2-3,irr-A6-7) + 1 x (irr-A2-1,irr-A6-28)
irr-A9-99	1 x (irr-A2-1,irr-A6-1) + 2 x (irr-A2-3,irr-A6-7) + 1 x (irr-A2-8,irr-A6-1) + 1 x (irr-A2-1,irr-A6-48)
irr-A9-120	1 x (irr-A2-1,irr-A6-1) + 1 x (irr-A2-3,irr-A6-7) + 1 x (irr-A2-3,irr-A6-21) + 1 x (irr-A2-1,irr-A6-35)
irr-A9-252-q	2 x (irr-A2-1,irr-A6-21) + 2 x (irr-A2-3,irr-A6-35)
