irr-A9-1	1 x (irr-A3-1)
irr-A9-10	1 x (irr-A3-10)
irr-A9-45	1 x (irr-A3-45)
irr-A9-55	1 x (irr-A3-20b) + 1 x (irr-A3-35)
irr-A9-99	1 x (irr-A3-15) + 1 x (irr-A3-84a)
irr-A9-120	1 x (irr-A3-50) + 1 x (irr-A3-70)
irr-A9-252-q	2 x (irr-A3-126)
