irr-A9-1	1 x (irr-A4-1,irr-A4-1)
irr-A9-10	1 x (irr-A4-5,irr-A4-1) + 1 x (irr-A4-1,irr-A4-5)
irr-A9-45	1 x (irr-A4-10,irr-A4-1) + 1 x (irr-A4-5,irr-A4-5) + 1 x (irr-A4-1,irr-A4-10)
irr-A9-55	1 x (irr-A4-15,irr-A4-1) + 1 x (irr-A4-5,irr-A4-5) + 1 x (irr-A4-1,irr-A4-15)
irr-A9-99	1 x (irr-A4-1,irr-A4-1) + 1 x (irr-A4-24,irr-A4-1) + 2 x (irr-A4-5,irr-A4-5) + 1 x (irr-A4-1,irr-A4-24)
irr-A9-120	1 x (irr-A4-10,irr-A4-1) + 1 x (irr-A4-1,irr-A4-10) + 1 x (irr-A4-10,irr-A4-5) + 1 x (irr-A4-5,irr-A4-10)
irr-A9-252-q	2 x (irr-A4-1,irr-A4-1) + 2 x (irr-A4-5,irr-A4-5) + 2 x (irr-A4-10,irr-A4-10)
