irr-D13-1	1 x (irr-B3-1,irr-B9-1)
irr-D13-26	1 x (irr-B3-7,irr-B9-1) + 1 x (irr-B3-1,irr-B9-19)
irr-D13-325	1 x (irr-B3-7,irr-B9-19) + 1 x (irr-B3-21,irr-B9-1) + 1 x (irr-B3-1,irr-B9-171)
irr-D13-350	1 x (irr-B3-1,irr-B9-1) + 1 x (irr-B3-7,irr-B9-19) + 1 x (irr-B3-27,irr-B9-1) + 1 x (irr-B3-1,irr-B9-189)
