irr-D13-1	1 x (irr-B5-1,irr-B7-1)
irr-D13-26	1 x (irr-B5-11,irr-B7-1) + 1 x (irr-B5-1,irr-B7-15)
irr-D13-325	1 x (irr-B5-11,irr-B7-15) + 1 x (irr-B5-55,irr-B7-1) + 1 x (irr-B5-1,irr-B7-105)
irr-D13-350	1 x (irr-B5-1,irr-B7-1) + 1 x (irr-B5-11,irr-B7-15) + 1 x (irr-B5-65,irr-B7-1) + 1 x (irr-B5-1,irr-B7-119)
