irr-D13-1	1 x (irr-D12-1)
irr-D13-26	2 x (irr-D12-1) + 1 x (irr-D12-24)
irr-D13-325	1 x (irr-D12-1) + 2 x (irr-D12-24) + 1 x (irr-D12-276)
irr-D13-350	3 x (irr-D12-1) + 2 x (irr-D12-24) + 1 x (irr-D12-299)
