irr-D13-1	1 x (irr-D4-1,irr-D9-1)
irr-D13-26	1 x (irr-D4-8a,irr-D9-1) + 1 x (irr-D4-1,irr-D9-18)
irr-D13-325	1 x (irr-D4-8a,irr-D9-18) + 1 x (irr-D4-28,irr-D9-1) + 1 x (irr-D4-1,irr-D9-153)
irr-D13-350	1 x (irr-D4-1,irr-D9-1) + 1 x (irr-D4-8a,irr-D9-18) + 1 x (irr-D4-35a,irr-D9-1) + 1 x (irr-D4-1,irr-D9-170)
