irr-D13-1	1 x (irr-A1-1,irr-B11-1)
irr-D13-26	1 x (irr-A1-3,irr-B11-1) + 1 x (irr-A1-1,irr-B11-23)
irr-D13-325	1 x (irr-A1-3,irr-B11-1) + 1 x (irr-A1-3,irr-B11-23) + 1 x (irr-A1-1,irr-B11-253)
irr-D13-350	1 x (irr-A1-1,irr-B11-1) + 1 x (irr-A1-5,irr-B11-1) + 1 x (irr-A1-3,irr-B11-23) + 1 x (irr-A1-1,irr-B11-275)
