irr-D13-1	1 x (irr-B4-1,irr-B8-1)
irr-D13-26	1 x (irr-B4-9,irr-B8-1) + 1 x (irr-B4-1,irr-B8-17)
irr-D13-325	1 x (irr-B4-9,irr-B8-17) + 1 x (irr-B4-36,irr-B8-1) + 1 x (irr-B4-1,irr-B8-136)
irr-D13-350	1 x (irr-B4-1,irr-B8-1) + 1 x (irr-B4-9,irr-B8-17) + 1 x (irr-B4-44,irr-B8-1) + 1 x (irr-B4-1,irr-B8-152)
