irr-D13-1	1 x (irr-D6-1,irr-D7-1)
irr-D13-26	1 x (irr-D6-12,irr-D7-1) + 1 x (irr-D6-1,irr-D7-14)
irr-D13-325	1 x (irr-D6-12,irr-D7-14) + 1 x (irr-D6-66,irr-D7-1) + 1 x (irr-D6-1,irr-D7-91)
irr-D13-350	1 x (irr-D6-1,irr-D7-1) + 1 x (irr-D6-12,irr-D7-14) + 1 x (irr-D6-77,irr-D7-1) + 1 x (irr-D6-1,irr-D7-104)
