irr-D13-1	1 x (irr-A3-1,irr-D10-1)
irr-D13-26	1 x (irr-A3-6,irr-D10-1) + 1 x (irr-A3-1,irr-D10-20)
irr-D13-325	1 x (irr-A3-6,irr-D10-20) + 1 x (irr-A3-15,irr-D10-1) + 1 x (irr-A3-1,irr-D10-190)
irr-D13-350	1 x (irr-A3-1,irr-D10-1) + 1 x (irr-A3-6,irr-D10-20) + 1 x (irr-A3-20b,irr-D10-1) + 1 x (irr-A3-1,irr-D10-209)
