irr-D13-1	1 x (irr-D5-1,irr-D8-1)
irr-D13-26	1 x (irr-D5-10,irr-D8-1) + 1 x (irr-D5-1,irr-D8-16)
irr-D13-325	1 x (irr-D5-10,irr-D8-16) + 1 x (irr-D5-45,irr-D8-1) + 1 x (irr-D5-1,irr-D8-120)
irr-D13-350	1 x (irr-D5-1,irr-D8-1) + 1 x (irr-D5-10,irr-D8-16) + 1 x (irr-D5-54,irr-D8-1) + 1 x (irr-D5-1,irr-D8-135)
