irr-D13-1	1 x (irr-A1-1,irr-A1-1,irr-D11-1)
irr-D13-26	1 x (irr-A1-2-q,irr-A1-2-q,irr-D11-1) + 1 x (irr-A1-1,irr-A1-1,irr-D11-22)
irr-D13-325	1 x (irr-A1-3,irr-A1-1,irr-D11-1) + 1 x (irr-A1-1,irr-A1-3,irr-D11-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D11-22) + 1 x (irr-A1-1,irr-A1-1,irr-D11-231)
irr-D13-350	1 x (irr-A1-1,irr-A1-1,irr-D11-1) + 1 x (irr-A1-3,irr-A1-3,irr-D11-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D11-22) + 1 x (irr-A1-1,irr-A1-1,irr-D11-252)
