irr-D13-1	1 x (irr-C2-1,irr-B10-1)
irr-D13-26	1 x (irr-C2-5,irr-B10-1) + 1 x (irr-C2-1,irr-B10-21)
irr-D13-325	1 x (irr-C2-10,irr-B10-1) + 1 x (irr-C2-5,irr-B10-21) + 1 x (irr-C2-1,irr-B10-210)
irr-D13-350	1 x (irr-C2-1,irr-B10-1) + 1 x (irr-C2-14,irr-B10-1) + 1 x (irr-C2-5,irr-B10-21) + 1 x (irr-C2-1,irr-B10-230)
