irr-A30-1	1 x (irr-A11-1,irr-A18-1)
irr-A30-31	1 x (irr-A11-12,irr-A18-1) + 1 x (irr-A11-1,irr-A18-19)
irr-A30-465	1 x (irr-A11-66,irr-A18-1) + 1 x (irr-A11-12,irr-A18-19) + 1 x (irr-A11-1,irr-A18-171)
irr-A30-496	1 x (irr-A11-78,irr-A18-1) + 1 x (irr-A11-12,irr-A18-19) + 1 x (irr-A11-1,irr-A18-190)
irr-A30-960	1 x (irr-A11-1,irr-A18-1) + 1 x (irr-A11-143,irr-A18-1) + 2 x (irr-A11-12,irr-A18-19) + 1 x (irr-A11-1,irr-A18-360)
