irr-A31-1	1 x (irr-A30-1)
irr-A31-32	1 x (irr-A30-1) + 1 x (irr-A30-31)
irr-A31-496	1 x (irr-A30-31) + 1 x (irr-A30-465)
irr-A31-528	1 x (irr-A30-1) + 1 x (irr-A30-31) + 1 x (irr-A30-496)
irr-A31-1023	1 x (irr-A30-1) + 2 x (irr-A30-31) + 1 x (irr-A30-960)
