irr-A31-1	1 x (irr-D16-1)
irr-A31-32	1 x (irr-D16-32)
irr-A31-496	1 x (irr-D16-496)
irr-A31-528	1 x (irr-D16-1) + 1 x (irr-D16-527)
irr-A31-1023	1 x (irr-D16-496) + 1 x (irr-D16-527)
