irr-A31-1	1 x (irr-A10-1,irr-A20-1)
irr-A31-32	1 x (irr-A10-11,irr-A20-1) + 1 x (irr-A10-1,irr-A20-21)
irr-A31-496	1 x (irr-A10-55,irr-A20-1) + 1 x (irr-A10-11,irr-A20-21) + 1 x (irr-A10-1,irr-A20-210)
irr-A31-528	1 x (irr-A10-66,irr-A20-1) + 1 x (irr-A10-11,irr-A20-21) + 1 x (irr-A10-1,irr-A20-231)
irr-A31-1023	1 x (irr-A10-1,irr-A20-1) + 1 x (irr-A10-120,irr-A20-1) + 2 x (irr-A10-11,irr-A20-21) + 1 x (irr-A10-1,irr-A20-440)
