irr-C20-1	1 x (irr-C3-1,irr-C17-1)
irr-C20-40-q	1 x (irr-C3-6-q,irr-C17-1) + 1 x (irr-C3-1,irr-C17-34-q)
irr-C20-779	1 x (irr-C3-1,irr-C17-1) + 1 x (irr-C3-14a,irr-C17-1) + 1 x (irr-C3-6-q,irr-C17-34-q) + 1 x (irr-C3-1,irr-C17-560)
irr-C20-820	1 x (irr-C3-21,irr-C17-1) + 1 x (irr-C3-6-q,irr-C17-34-q) + 1 x (irr-C3-1,irr-C17-595)
