irr-C20-1	1 x (irr-A1-1,irr-C19-1)
irr-C20-40-q	1 x (irr-A1-2-q,irr-C19-1) + 1 x (irr-A1-1,irr-C19-38-q)
irr-C20-779	1 x (irr-A1-1,irr-C19-1) + 1 x (irr-A1-2-q,irr-C19-38-q) + 1 x (irr-A1-1,irr-C19-702)
irr-C20-820	1 x (irr-A1-3,irr-C19-1) + 1 x (irr-A1-2-q,irr-C19-38-q) + 1 x (irr-A1-1,irr-C19-741)
