irr-C20-1	1 x (irr-A19-1)
irr-C20-40-q	2 x (irr-A19-20)
irr-C20-779	2 x (irr-A19-190) + 1 x (irr-A19-399)
irr-C20-820	1 x (irr-A19-1) + 2 x (irr-A19-210) + 1 x (irr-A19-399)
