irr-C20-1	1 x (irr-C6-1,irr-C14-1)
irr-C20-40-q	1 x (irr-C6-12-q,irr-C14-1) + 1 x (irr-C6-1,irr-C14-28-q)
irr-C20-779	1 x (irr-C6-1,irr-C14-1) + 1 x (irr-C6-65,irr-C14-1) + 1 x (irr-C6-12-q,irr-C14-28-q) + 1 x (irr-C6-1,irr-C14-377)
irr-C20-820	1 x (irr-C6-78,irr-C14-1) + 1 x (irr-C6-12-q,irr-C14-28-q) + 1 x (irr-C6-1,irr-C14-406)
