irr-C20-1	1 x (irr-C5-1,irr-C15-1)
irr-C20-40-q	1 x (irr-C5-10-q,irr-C15-1) + 1 x (irr-C5-1,irr-C15-30-q)
irr-C20-779	1 x (irr-C5-1,irr-C15-1) + 1 x (irr-C5-44,irr-C15-1) + 1 x (irr-C5-10-q,irr-C15-30-q) + 1 x (irr-C5-1,irr-C15-434)
irr-C20-820	1 x (irr-C5-55,irr-C15-1) + 1 x (irr-C5-10-q,irr-C15-30-q) + 1 x (irr-C5-1,irr-C15-465)
