irr-C20-1	1 x (irr-C2-1,irr-D5-1)
irr-C20-40-q	1 x (irr-C2-4-q,irr-D5-10)
irr-C20-779	1 x (irr-C2-5,irr-D5-1) + 1 x (irr-C2-1,irr-D5-54) + 1 x (irr-C2-10,irr-D5-45) + 1 x (irr-C2-5,irr-D5-54)
irr-C20-820	1 x (irr-C2-10,irr-D5-1) + 1 x (irr-C2-1,irr-D5-45) + 1 x (irr-C2-5,irr-D5-45) + 1 x (irr-C2-10,irr-D5-54)
