irr-C20-1	1 x (irr-C10-1,irr-C10-1)
irr-C20-40-q	1 x (irr-C10-20-q,irr-C10-1) + 1 x (irr-C10-1,irr-C10-20-q)
irr-C20-779	1 x (irr-C10-1,irr-C10-1) + 1 x (irr-C10-189,irr-C10-1) + 1 x (irr-C10-20-q,irr-C10-20-q) + 1 x (irr-C10-1,irr-C10-189)
irr-C20-820	1 x (irr-C10-210,irr-C10-1) + 1 x (irr-C10-20-q,irr-C10-20-q) + 1 x (irr-C10-1,irr-C10-210)
