irr-C20-1	1 x (irr-C7-1,irr-C13-1)
irr-C20-40-q	1 x (irr-C7-14-q,irr-C13-1) + 1 x (irr-C7-1,irr-C13-26-q)
irr-C20-779	1 x (irr-C7-1,irr-C13-1) + 1 x (irr-C7-90,irr-C13-1) + 1 x (irr-C7-14-q,irr-C13-26-q) + 1 x (irr-C7-1,irr-C13-324)
irr-C20-820	1 x (irr-C7-105,irr-C13-1) + 1 x (irr-C7-14-q,irr-C13-26-q) + 1 x (irr-C7-1,irr-C13-351)
