irr-C20-1	1 x (irr-A1-1,irr-D10-1)
irr-C20-40-q	1 x (irr-A1-2-q,irr-D10-20)
irr-C20-779	1 x (irr-A1-3,irr-D10-190) + 1 x (irr-A1-1,irr-D10-209)
irr-C20-820	1 x (irr-A1-3,irr-D10-1) + 1 x (irr-A1-3,irr-D10-209) + 1 x (irr-A1-1,irr-D10-190)
