irr-C20-1	1 x (irr-C9-1,irr-C11-1)
irr-C20-40-q	1 x (irr-C9-18-q,irr-C11-1) + 1 x (irr-C9-1,irr-C11-22-q)
irr-C20-779	1 x (irr-C9-1,irr-C11-1) + 1 x (irr-C9-152,irr-C11-1) + 1 x (irr-C9-18-q,irr-C11-22-q) + 1 x (irr-C9-1,irr-C11-230)
irr-C20-820	1 x (irr-C9-171,irr-C11-1) + 1 x (irr-C9-18-q,irr-C11-22-q) + 1 x (irr-C9-1,irr-C11-253)
