irr-C3-1	1 x (irr-A1-1,irr-A1-1)
irr-C3-6-q	1 x (irr-A1-3,irr-A1-2-q)
irr-C3-14a	1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1)
irr-C3-14b-q	1 x (irr-A1-1,irr-A1-4-q) + 1 x (irr-A1-5,irr-A1-2-q)
irr-C3-21	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3)
irr-C3-56-q	1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-4-q) + 1 x (irr-A1-5,irr-A1-2-q) + 1 x (irr-A1-7,irr-A1-4-q)
irr-C3-64-q	1 x (irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-4-q) + 1 x (irr-A1-5,irr-A1-2-q) + 1 x (irr-A1-5,irr-A1-4-q) + 1 x (irr-A1-7,irr-A1-2-q)
irr-C3-70	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-7,irr-A1-1) + 1 x (irr-A1-7,irr-A1-3)
irr-C3-84	1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-7,irr-A1-1) + 1 x (irr-A1-1,irr-A1-7) + 1 x (irr-A1-5,irr-A1-5) + 1 x (irr-A1-9,irr-A1-3)
irr-C3-90	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1) + 1 x (irr-A1-1,irr-A1-5) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-5,irr-A1-5) + 1 x (irr-A1-7,irr-A1-3) + 1 x (irr-A1-9,irr-A1-1)
irr-C3-126a-q	1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-4-q) + 1 x (irr-A1-5,irr-A1-2-q) + 1 x (irr-A1-5,irr-A1-4-q) + 1 x (irr-A1-3,irr-A1-6-q) + 1 x (irr-A1-7,irr-A1-2-q) + 1 x (irr-A1-7,irr-A1-4-q) + 1 x (irr-A1-9,irr-A1-2-q)
irr-C3-189	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 2 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1) + 2 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-7,irr-A1-1) + 1 x (irr-A1-5,irr-A1-5) + 1 x (irr-A1-7,irr-A1-3) + 1 x (irr-A1-7,irr-A1-5) + 1 x (irr-A1-9,irr-A1-3)
