irr-C3-1	1 x (irr-A1-1)
irr-C3-6-q	1 x (irr-A1-6-q)
irr-C3-14a	1 x (irr-A1-5) + 1 x (irr-A1-9)
irr-C3-14b-q	1 x (irr-A1-4-q) + 1 x (irr-A1-10-q)
irr-C3-21	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11)
irr-C3-56-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-16-q)
irr-C3-64-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 2 x (irr-A1-8-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-14-q)
irr-C3-70	1 x (irr-A1-3) + 1 x (irr-A1-5) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15)
irr-C3-84	1 x (irr-A1-3) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-19)
irr-C3-90	1 x (irr-A1-1) + 2 x (irr-A1-5) + 1 x (irr-A1-7) + 2 x (irr-A1-9) + 1 x (irr-A1-11) + 2 x (irr-A1-13) + 1 x (irr-A1-17)
irr-C3-126a-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 2 x (irr-A1-6-q) + 2 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 2 x (irr-A1-12-q) + 1 x (irr-A1-14-q) + 1 x (irr-A1-16-q) + 1 x (irr-A1-18-q)
irr-C3-189	2 x (irr-A1-3) + 2 x (irr-A1-5) + 3 x (irr-A1-7) + 3 x (irr-A1-9) + 3 x (irr-A1-11) + 2 x (irr-A1-13) + 2 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19)
