irr-C5-1	1 x (irr-A1-1,irr-C2-1)
irr-C5-10-q	1 x (irr-A1-2-q,irr-C2-5)
irr-C5-44	1 x (irr-A1-3,irr-C2-10) + 1 x (irr-A1-1,irr-C2-14)
irr-C5-55	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-3,irr-C2-14) + 1 x (irr-A1-1,irr-C2-10)
irr-C5-110-q	1 x (irr-A1-4-q,irr-C2-10) + 1 x (irr-A1-2-q,irr-C2-35a)
irr-C5-132-q	1 x (irr-A1-6-q,irr-C2-1) + 1 x (irr-A1-4-q,irr-C2-14) + 1 x (irr-A1-2-q,irr-C2-35b)
