irr-C5-1	1 x (irr-A1-1,irr-C4-1)
irr-C5-10-q	1 x (irr-A1-2-q,irr-C4-1) + 1 x (irr-A1-1,irr-C4-8-q)
irr-C5-44	1 x (irr-A1-1,irr-C4-1) + 1 x (irr-A1-2-q,irr-C4-8-q) + 1 x (irr-A1-1,irr-C4-27)
irr-C5-55	1 x (irr-A1-3,irr-C4-1) + 1 x (irr-A1-2-q,irr-C4-8-q) + 1 x (irr-A1-1,irr-C4-36)
irr-C5-110-q	1 x (irr-A1-1,irr-C4-8-q) + 1 x (irr-A1-2-q,irr-C4-27) + 1 x (irr-A1-1,irr-C4-48-q)
irr-C5-132-q	1 x (irr-A1-2-q,irr-C4-42) + 1 x (irr-A1-1,irr-C4-48-q)
