irr-C5-1	1 x (irr-A4-1)
irr-C5-10-q	2 x (irr-A4-5)
irr-C5-44	2 x (irr-A4-10) + 1 x (irr-A4-24)
irr-C5-55	1 x (irr-A4-1) + 2 x (irr-A4-15) + 1 x (irr-A4-24)
irr-C5-110-q	2 x (irr-A4-10) + 2 x (irr-A4-45)
irr-C5-132-q	2 x (irr-A4-1) + 2 x (irr-A4-15) + 2 x (irr-A4-50)
