irr-B11-1	1 x (irr-B5-1,irr-D6-1)
irr-B11-23	1 x (irr-B5-11,irr-D6-1) + 1 x (irr-B5-1,irr-D6-12)
irr-B11-253	1 x (irr-B5-55,irr-D6-1) + 1 x (irr-B5-11,irr-D6-12) + 1 x (irr-B5-1,irr-D6-66)
irr-B11-275	1 x (irr-B5-1,irr-D6-1) + 1 x (irr-B5-11,irr-D6-12) + 1 x (irr-B5-65,irr-D6-1) + 1 x (irr-B5-1,irr-D6-77)
