irr-B11-1	1 x (irr-A1-1,irr-A1-1,irr-B9-1)
irr-B11-23	1 x (irr-A1-2-q,irr-A1-2-q,irr-B9-1) + 1 x (irr-A1-1,irr-A1-1,irr-B9-19)
irr-B11-253	1 x (irr-A1-3,irr-A1-1,irr-B9-1) + 1 x (irr-A1-1,irr-A1-3,irr-B9-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B9-19) + 1 x (irr-A1-1,irr-A1-1,irr-B9-171)
irr-B11-275	1 x (irr-A1-1,irr-A1-1,irr-B9-1) + 1 x (irr-A1-3,irr-A1-3,irr-B9-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B9-19) + 1 x (irr-A1-1,irr-A1-1,irr-B9-189)
