irr-B11-1	1 x (irr-A1-1,irr-D10-1)
irr-B11-23	1 x (irr-A1-3,irr-D10-1) + 1 x (irr-A1-1,irr-D10-20)
irr-B11-253	1 x (irr-A1-3,irr-D10-1) + 1 x (irr-A1-3,irr-D10-20) + 1 x (irr-A1-1,irr-D10-190)
irr-B11-275	1 x (irr-A1-1,irr-D10-1) + 1 x (irr-A1-5,irr-D10-1) + 1 x (irr-A1-3,irr-D10-20) + 1 x (irr-A1-1,irr-D10-209)
