irr-B11-1	1 x (irr-B7-1,irr-D4-1)
irr-B11-23	1 x (irr-B7-15,irr-D4-1) + 1 x (irr-B7-1,irr-D4-8a)
irr-B11-253	1 x (irr-B7-105,irr-D4-1) + 1 x (irr-B7-15,irr-D4-8a) + 1 x (irr-B7-1,irr-D4-28)
irr-B11-275	1 x (irr-B7-1,irr-D4-1) + 1 x (irr-B7-15,irr-D4-8a) + 1 x (irr-B7-119,irr-D4-1) + 1 x (irr-B7-1,irr-D4-35a)
