irr-B11-1	1 x (irr-B6-1,irr-D5-1)
irr-B11-23	1 x (irr-B6-13,irr-D5-1) + 1 x (irr-B6-1,irr-D5-10)
irr-B11-253	1 x (irr-B6-78,irr-D5-1) + 1 x (irr-B6-13,irr-D5-10) + 1 x (irr-B6-1,irr-D5-45)
irr-B11-275	1 x (irr-B6-1,irr-D5-1) + 1 x (irr-B6-13,irr-D5-10) + 1 x (irr-B6-90,irr-D5-1) + 1 x (irr-B6-1,irr-D5-54)
