irr-C14-1	1 x (irr-C7-1,irr-C7-1)
irr-C14-28-q	1 x (irr-C7-14-q,irr-C7-1) + 1 x (irr-C7-1,irr-C7-14-q)
irr-C14-377	1 x (irr-C7-1,irr-C7-1) + 1 x (irr-C7-90,irr-C7-1) + 1 x (irr-C7-14-q,irr-C7-14-q) + 1 x (irr-C7-1,irr-C7-90)
irr-C14-406	1 x (irr-C7-105,irr-C7-1) + 1 x (irr-C7-14-q,irr-C7-14-q) + 1 x (irr-C7-1,irr-C7-105)
