irr-C14-1	1 x (irr-A1-1,irr-C13-1)
irr-C14-28-q	1 x (irr-A1-2-q,irr-C13-1) + 1 x (irr-A1-1,irr-C13-26-q)
irr-C14-377	1 x (irr-A1-1,irr-C13-1) + 1 x (irr-A1-2-q,irr-C13-26-q) + 1 x (irr-A1-1,irr-C13-324)
irr-C14-406	1 x (irr-A1-3,irr-C13-1) + 1 x (irr-A1-2-q,irr-C13-26-q) + 1 x (irr-A1-1,irr-C13-351)
