irr-C14-1	1 x (irr-A1-1,irr-D7-1)
irr-C14-28-q	1 x (irr-A1-2-q,irr-D7-14)
irr-C14-377	1 x (irr-A1-3,irr-D7-91) + 1 x (irr-A1-1,irr-D7-104)
irr-C14-406	1 x (irr-A1-3,irr-D7-1) + 1 x (irr-A1-3,irr-D7-104) + 1 x (irr-A1-1,irr-D7-91)
