irr-C14-1	1 x (irr-A13-1)
irr-C14-28-q	2 x (irr-A13-14)
irr-C14-377	2 x (irr-A13-91) + 1 x (irr-A13-195)
irr-C14-406	1 x (irr-A13-1) + 2 x (irr-A13-105) + 1 x (irr-A13-195)
