irr-B12-1	1 x (irr-B11-1)
irr-B12-25	2 x (irr-B11-1) + 1 x (irr-B11-23)
irr-B12-300	1 x (irr-B11-1) + 2 x (irr-B11-23) + 1 x (irr-B11-253)
irr-B12-324	3 x (irr-B11-1) + 2 x (irr-B11-23) + 1 x (irr-B11-275)
