irr-B12-1	1 x (irr-B3-1,irr-D9-1)
irr-B12-25	1 x (irr-B3-7,irr-D9-1) + 1 x (irr-B3-1,irr-D9-18)
irr-B12-300	1 x (irr-B3-21,irr-D9-1) + 1 x (irr-B3-7,irr-D9-18) + 1 x (irr-B3-1,irr-D9-153)
irr-B12-324	1 x (irr-B3-1,irr-D9-1) + 1 x (irr-B3-7,irr-D9-18) + 1 x (irr-B3-27,irr-D9-1) + 1 x (irr-B3-1,irr-D9-170)
