irr-B12-1	1 x (irr-B7-1,irr-D5-1)
irr-B12-25	1 x (irr-B7-15,irr-D5-1) + 1 x (irr-B7-1,irr-D5-10)
irr-B12-300	1 x (irr-B7-105,irr-D5-1) + 1 x (irr-B7-15,irr-D5-10) + 1 x (irr-B7-1,irr-D5-45)
irr-B12-324	1 x (irr-B7-1,irr-D5-1) + 1 x (irr-B7-15,irr-D5-10) + 1 x (irr-B7-119,irr-D5-1) + 1 x (irr-B7-1,irr-D5-54)
