irr-B12-1	1 x (irr-D12-1)
irr-B12-25	1 x (irr-D12-1) + 1 x (irr-D12-24)
irr-B12-300	1 x (irr-D12-24) + 1 x (irr-D12-276)
irr-B12-324	1 x (irr-D12-1) + 1 x (irr-D12-24) + 1 x (irr-D12-299)
