irr-B12-1	1 x (irr-B8-1,irr-D4-1)
irr-B12-25	1 x (irr-B8-17,irr-D4-1) + 1 x (irr-B8-1,irr-D4-8a)
irr-B12-300	1 x (irr-B8-136,irr-D4-1) + 1 x (irr-B8-17,irr-D4-8a) + 1 x (irr-B8-1,irr-D4-28)
irr-B12-324	1 x (irr-B8-1,irr-D4-1) + 1 x (irr-B8-17,irr-D4-8a) + 1 x (irr-B8-152,irr-D4-1) + 1 x (irr-B8-1,irr-D4-35a)
