irr-B12-1	1 x (irr-A3-1,irr-B9-1)
irr-B12-25	1 x (irr-A3-6,irr-B9-1) + 1 x (irr-A3-1,irr-B9-19)
irr-B12-300	1 x (irr-A3-15,irr-B9-1) + 1 x (irr-A3-6,irr-B9-19) + 1 x (irr-A3-1,irr-B9-171)
irr-B12-324	1 x (irr-A3-1,irr-B9-1) + 1 x (irr-A3-6,irr-B9-19) + 1 x (irr-A3-20b,irr-B9-1) + 1 x (irr-A3-1,irr-B9-189)
