irr-B12-1	1 x (irr-C2-1,irr-D10-1)
irr-B12-25	1 x (irr-C2-5,irr-D10-1) + 1 x (irr-C2-1,irr-D10-20)
irr-B12-300	1 x (irr-C2-10,irr-D10-1) + 1 x (irr-C2-5,irr-D10-20) + 1 x (irr-C2-1,irr-D10-190)
irr-B12-324	1 x (irr-C2-1,irr-D10-1) + 1 x (irr-C2-14,irr-D10-1) + 1 x (irr-C2-5,irr-D10-20) + 1 x (irr-C2-1,irr-D10-209)
