irr-B12-1	1 x (irr-A1-1,irr-A1-1,irr-B10-1)
irr-B12-25	1 x (irr-A1-2-q,irr-A1-2-q,irr-B10-1) + 1 x (irr-A1-1,irr-A1-1,irr-B10-21)
irr-B12-300	1 x (irr-A1-3,irr-A1-1,irr-B10-1) + 1 x (irr-A1-1,irr-A1-3,irr-B10-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B10-21) + 1 x (irr-A1-1,irr-A1-1,irr-B10-210)
irr-B12-324	1 x (irr-A1-1,irr-A1-1,irr-B10-1) + 1 x (irr-A1-3,irr-A1-3,irr-B10-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B10-21) + 1 x (irr-A1-1,irr-A1-1,irr-B10-230)
