irr-B12-1	1 x (irr-B5-1,irr-D7-1)
irr-B12-25	1 x (irr-B5-11,irr-D7-1) + 1 x (irr-B5-1,irr-D7-14)
irr-B12-300	1 x (irr-B5-55,irr-D7-1) + 1 x (irr-B5-11,irr-D7-14) + 1 x (irr-B5-1,irr-D7-91)
irr-B12-324	1 x (irr-B5-1,irr-D7-1) + 1 x (irr-B5-11,irr-D7-14) + 1 x (irr-B5-65,irr-D7-1) + 1 x (irr-B5-1,irr-D7-104)
