irr-D4-1	1 x (irr-A3-1)
irr-D4-8a	2 x (irr-A3-1) + 1 x (irr-A3-6)
irr-D4-8b	2 x (irr-A3-4)
irr-D4-28	1 x (irr-A3-1) + 2 x (irr-A3-6) + 1 x (irr-A3-15)
irr-D4-35a	3 x (irr-A3-1) + 2 x (irr-A3-6) + 1 x (irr-A3-20b)
irr-D4-35b	2 x (irr-A3-10) + 1 x (irr-A3-15)
irr-D4-56a	1 x (irr-A3-6) + 2 x (irr-A3-10) + 2 x (irr-A3-15)
irr-D4-56b	4 x (irr-A3-4) + 2 x (irr-A3-20a)
irr-D4-300	1 x (irr-A3-1) + 2 x (irr-A3-6) + 1 x (irr-A3-15) + 3 x (irr-A3-20b) + 2 x (irr-A3-64) + 1 x (irr-A3-84a)
irr-D4-350	2 x (irr-A3-6) + 4 x (irr-A3-10) + 4 x (irr-A3-15) + 1 x (irr-A3-20b) + 2 x (irr-A3-45) + 2 x (irr-A3-64)
