irr-D4-1	1 x (irr-A1-1,irr-C2-1)
irr-D4-8a	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-1,irr-C2-5)
irr-D4-8b	1 x (irr-A1-2-q,irr-C2-4-q)
irr-D4-28	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-1,irr-C2-10)
irr-D4-35a	1 x (irr-A1-1,irr-C2-1) + 1 x (irr-A1-5,irr-C2-1) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-1,irr-C2-14)
irr-D4-35b	1 x (irr-A1-1,irr-C2-5) + 1 x (irr-A1-3,irr-C2-10)
irr-D4-56a	1 x (irr-A1-1,irr-C2-1) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-1,irr-C2-10) + 1 x (irr-A1-3,irr-C2-10)
irr-D4-56b	1 x (irr-A1-2-q,irr-C2-4-q) + 1 x (irr-A1-4-q,irr-C2-4-q) + 1 x (irr-A1-2-q,irr-C2-16-q)
irr-D4-300	1 x (irr-A1-1,irr-C2-1) + 1 x (irr-A1-5,irr-C2-1) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-5,irr-C2-5) + 1 x (irr-A1-3,irr-C2-10) + 1 x (irr-A1-1,irr-C2-14) + 1 x (irr-A1-5,irr-C2-14) + 1 x (irr-A1-1,irr-C2-35b) + 1 x (irr-A1-3,irr-C2-35a)
irr-D4-350	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-1,irr-C2-5) + 1 x (irr-A1-3,irr-C2-5) + 1 x (irr-A1-5,irr-C2-5) + 1 x (irr-A1-1,irr-C2-10) + 2 x (irr-A1-3,irr-C2-10) + 1 x (irr-A1-5,irr-C2-10) + 1 x (irr-A1-3,irr-C2-14) + 1 x (irr-A1-1,irr-C2-35a) + 1 x (irr-A1-3,irr-C2-35a)
