irr-B4-1	1 x (irr-A1-1)
irr-B4-9	1 x (irr-A1-9)
irr-B4-16	1 x (irr-A1-5) + 1 x (irr-A1-11)
irr-B4-36	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15)
irr-B4-44	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17)
irr-B4-84	1 x (irr-A1-3) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-19)
irr-B4-126	1 x (irr-A1-1) + 2 x (irr-A1-5) + 1 x (irr-A1-7) + 2 x (irr-A1-9) + 1 x (irr-A1-11) + 2 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-21)
irr-B4-128	1 x (irr-A1-3) + 1 x (irr-A1-5) + 2 x (irr-A1-7) + 2 x (irr-A1-9) + 1 x (irr-A1-11) + 2 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19)
