vtx-D04-284-36-18-a	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-56b)
vtx-D04-284-36-18-b	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-D4-8a) + 2 x (irr-D4-28) + 2 x (irr-D4-56a)
vtx-D04-284-36-18-c	Δ = 284	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8a) + 9 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-284-49-21	Δ = 284	bi.bi = 49	b0.bi = 21	hypers = 9 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-285-49-21-a	Δ = 285	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-D4-8a) + 11 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-285-49-21-b	Δ = 285	bi.bi = 49	b0.bi = 21	hypers = 10 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-286-49-21-a	Δ = 286	bi.bi = 49	b0.bi = 21	hypers = 9 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28) + 2 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-286-49-21-b	Δ = 286	bi.bi = 49	b0.bi = 21	hypers = 11 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-286-49-21-c	Δ = 286	bi.bi = 49	b0.bi = 21	hypers = 2 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-287-49-21-a	Δ = 287	bi.bi = 49	b0.bi = 21	hypers = 12 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 3 x (irr-D4-56a)
vtx-D04-287-49-21-b	Δ = 287	bi.bi = 49	b0.bi = 21	hypers = 3 x (irr-D4-8a) + 11 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-287-49-21-c	Δ = 287	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-D4-8a) + 13 x (irr-D4-8b) + 1 x (irr-D4-35b) + 3 x (irr-D4-56b)
vtx-D04-287-49-21-d	Δ = 287	bi.bi = 49	b0.bi = 21	hypers = 10 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-290-25-15-a	Δ = 290	bi.bi = 25	b0.bi = 15	hypers = 5 x (irr-D4-8a) + 26 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-290-25-15-b	Δ = 290	bi.bi = 25	b0.bi = 15	hypers = 21 x (irr-D4-8a) + 10 x (irr-D4-8b) + 2 x (irr-D4-35b)
vtx-D04-291-100-30	Δ = 291	bi.bi = 100	b0.bi = 30	hypers = 5 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56b) + 1 x (irr-D4-160b)
vtx-D04-297-36-18-a	Δ = 297	bi.bi = 36	b0.bi = 18	hypers = 24 x (irr-D4-8a) + 1 x (irr-D4-28) + 3 x (irr-D4-35b)
vtx-D04-297-36-18-b	Δ = 297	bi.bi = 36	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-298-36-18-a	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 16 x (irr-D4-8a) + 9 x (irr-D4-8b) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-298-36-18-b	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-298-36-18-c	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 25 x (irr-D4-8a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-298-36-18-d	Δ = 298	bi.bi = 36	b0.bi = 18	hypers = 25 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-299-49-21-a	Δ = 299	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-D4-8a) + 18 x (irr-D4-8b) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-299-49-21-b	Δ = 299	bi.bi = 49	b0.bi = 21	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-348-81-27	Δ = 348	bi.bi = 81	b0.bi = 27	hypers = 21 x (irr-D4-8a) + 6 x (irr-D4-8b) + 1 x (irr-D4-160b)
vtx-D04-357-121-33	Δ = 357	bi.bi = 121	b0.bi = 33	hypers = 17 x (irr-D4-8a) + 4 x (irr-D4-8b) + 3 x (irr-D4-35a) + 1 x (irr-D4-112b)
