vtx-A03-83-1-3	Δ = 83	bi.bi = 1	b0.bi = 3	hypers = 20 x (irr-A3-4) + 3 x (irr-A3-6)
vtx-A03-149-4-6	Δ = 149	bi.bi = 4	b0.bi = 6	hypers = 32 x (irr-A3-4) + 6 x (irr-A3-6)
vtx-A03-198-9-9	Δ = 198	bi.bi = 9	b0.bi = 9	hypers = 36 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-15)
vtx-A03-199-9-9	Δ = 199	bi.bi = 9	b0.bi = 9	hypers = 36 x (irr-A3-4) + 10 x (irr-A3-6) + 1 x (irr-A3-10)
vtx-A03-230-16-12	Δ = 230	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-A3-4) + 12 x (irr-A3-6) + 3 x (irr-A3-15)
vtx-A03-231-16-12	Δ = 231	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15)
vtx-A03-232-16-12	Δ = 232	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-A3-4) + 14 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
vtx-A03-233-16-12	Δ = 233	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-A3-4) + 15 x (irr-A3-6) + 3 x (irr-A3-10)
vtx-A03-240-16-12	Δ = 240	bi.bi = 16	b0.bi = 12	hypers = 43 x (irr-A3-4) + 8 x (irr-A3-6) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
vtx-A03-241-16-12	Δ = 241	bi.bi = 16	b0.bi = 12	hypers = 43 x (irr-A3-4) + 9 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-20a)
vtx-A03-243-36-18	Δ = 243	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-A3-6) + 10 x (irr-A3-15)
vtx-A03-244-36-18	Δ = 244	bi.bi = 36	b0.bi = 18	hypers = 19 x (irr-A3-6) + 1 x (irr-A3-10) + 9 x (irr-A3-15)
vtx-A03-245-25-15	Δ = 245	bi.bi = 25	b0.bi = 15	hypers = 20 x (irr-A3-4) + 15 x (irr-A3-6) + 6 x (irr-A3-15)
vtx-A03-245-36-18	Δ = 245	bi.bi = 36	b0.bi = 18	hypers = 20 x (irr-A3-6) + 2 x (irr-A3-10) + 8 x (irr-A3-15)
vtx-A03-246-25-15	Δ = 246	bi.bi = 25	b0.bi = 15	hypers = 20 x (irr-A3-4) + 16 x (irr-A3-6) + 1 x (irr-A3-10) + 5 x (irr-A3-15)
vtx-A03-246-36-18	Δ = 246	bi.bi = 36	b0.bi = 18	hypers = 21 x (irr-A3-6) + 3 x (irr-A3-10) + 7 x (irr-A3-15)
vtx-A03-247-25-15	Δ = 247	bi.bi = 25	b0.bi = 15	hypers = 20 x (irr-A3-4) + 17 x (irr-A3-6) + 2 x (irr-A3-10) + 4 x (irr-A3-15)
