vtx-G02-77-1-3	Δ = 77	bi.bi = 1	b0.bi = 3	hypers = 13 x (irr-G2-7)
vtx-G02-278-196-42	Δ = 278	bi.bi = 196	b0.bi = 42	hypers = 6 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-278-400-60	Δ = 278	bi.bi = 400	b0.bi = 60	hypers = 1 x (irr-G2-7) + 2 x (irr-G2-27) + 3 x (irr-G2-77b)
vtx-G02-281-169-39	Δ = 281	bi.bi = 169	b0.bi = 39	hypers = 7 x (irr-G2-7) + 2 x (irr-G2-27) + 3 x (irr-G2-64)
vtx-G02-281-196-42	Δ = 281	bi.bi = 196	b0.bi = 42	hypers = 5 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-284-100-30	Δ = 284	bi.bi = 100	b0.bi = 30	hypers = 10 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-284-169-39	Δ = 284	bi.bi = 169	b0.bi = 39	hypers = 5 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-284-196-42	Δ = 284	bi.bi = 196	b0.bi = 42	hypers = 3 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-286-529-69	Δ = 286	bi.bi = 529	b0.bi = 69	hypers = 2 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-182)
vtx-G02-288-324-54	Δ = 288	bi.bi = 324	b0.bi = 54	hypers = 6 x (irr-G2-14) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-290-100-30	Δ = 290	bi.bi = 100	b0.bi = 30	hypers = 13 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-290-196-42	Δ = 290	bi.bi = 196	b0.bi = 42	hypers = 6 x (irr-G2-7) + 4 x (irr-G2-27) + 2 x (irr-G2-77a)
