vtx-A08-163-1-3	Δ = 163	bi.bi = 1	b0.bi = 3	hypers = 15 x (irr-A8-9) + 3 x (irr-A8-36)
vtx-A08-244-4-6	Δ = 244	bi.bi = 4	b0.bi = 6	hypers = 12 x (irr-A8-9) + 6 x (irr-A8-36)
vtx-A08-273-9-9	Δ = 273	bi.bi = 9	b0.bi = 9	hypers = 5 x (irr-A8-9) + 4 x (irr-A8-36) + 1 x (irr-A8-80) + 1 x (irr-A8-84)
vtx-A08-274-4-6	Δ = 274	bi.bi = 4	b0.bi = 6	hypers = 26 x (irr-A8-9) + 1 x (irr-A8-36) + 1 x (irr-A8-84)
vtx-A08-274-9-9	Δ = 274	bi.bi = 9	b0.bi = 9	hypers = 5 x (irr-A8-9) + 5 x (irr-A8-36) + 1 x (irr-A8-45) + 1 x (irr-A8-84)
vtx-A08-274-16-12	Δ = 274	bi.bi = 16	b0.bi = 12	hypers = 1 x (irr-A8-9) + 3 x (irr-A8-45) + 1 x (irr-A8-84) + 1 x (irr-A8-126)
vtx-A08-304-9-9	Δ = 304	bi.bi = 9	b0.bi = 9	hypers = 19 x (irr-A8-9) + 1 x (irr-A8-45) + 2 x (irr-A8-84)
vtx-A08-325-9-9	Δ = 325	bi.bi = 9	b0.bi = 9	hypers = 26 x (irr-A8-9) + 1 x (irr-A8-45) + 1 x (irr-A8-126)
