irr-A25-1	1 x (irr-C13-1)
irr-A25-26	1 x (irr-C13-26-q)
irr-A25-325	1 x (irr-C13-1) + 1 x (irr-C13-324)
irr-A25-351	1 x (irr-C13-351)
irr-A25-675	1 x (irr-C13-324) + 1 x (irr-C13-351)
