irr-D12-1	1 x (irr-B3-1,irr-B8-1)
irr-D12-24	1 x (irr-B3-7,irr-B8-1) + 1 x (irr-B3-1,irr-B8-17)
irr-D12-276	1 x (irr-B3-7,irr-B8-17) + 1 x (irr-B3-21,irr-B8-1) + 1 x (irr-B3-1,irr-B8-136)
irr-D12-299	1 x (irr-B3-1,irr-B8-1) + 1 x (irr-B3-7,irr-B8-17) + 1 x (irr-B3-27,irr-B8-1) + 1 x (irr-B3-1,irr-B8-152)
