irr-D12-1	1 x (irr-A1-1,irr-B10-1)
irr-D12-24	1 x (irr-A1-3,irr-B10-1) + 1 x (irr-A1-1,irr-B10-21)
irr-D12-276	1 x (irr-A1-3,irr-B10-1) + 1 x (irr-A1-3,irr-B10-21) + 1 x (irr-A1-1,irr-B10-210)
irr-D12-299	1 x (irr-A1-1,irr-B10-1) + 1 x (irr-A1-5,irr-B10-1) + 1 x (irr-A1-3,irr-B10-21) + 1 x (irr-A1-1,irr-B10-230)
