irr-D12-1	1 x (irr-A1-1,irr-C6-1)
irr-D12-24	1 x (irr-A1-2-q,irr-C6-12-q)
irr-D12-276	1 x (irr-A1-3,irr-C6-1) + 1 x (irr-A1-3,irr-C6-65) + 1 x (irr-A1-1,irr-C6-78)
irr-D12-299	1 x (irr-A1-1,irr-C6-65) + 1 x (irr-A1-3,irr-C6-78)
